Timestamp,Pulse Rate (bpm)
2025-06-23 15:02:38.492140,78
2025-06-23 15:02:38.531191,78
2025-06-23 15:02:38.580788,78
2025-06-23 15:02:38.632864,78
2025-06-23 15:02:38.681269,78
2025-06-23 15:02:38.732984,78
2025-06-23 15:02:38.784362,78
2025-06-23 15:02:38.833804,78
2025-06-23 15:02:38.884394,78
2025-06-23 15:02:38.934532,78
2025-06-23 15:02:38.984239,78
2025-06-23 15:02:39.034390,78
2025-06-23 15:02:39.085533,78
2025-06-23 15:02:39.134511,78
2025-06-23 15:02:39.186318,78
2025-06-23 15:02:39.236393,78
2025-06-23 15:02:39.286571,78
2025-06-23 15:02:39.337821,78
2025-06-23 15:02:39.387743,78
2025-06-23 15:02:39.437741,78
2025-06-23 15:02:39.488648,78
2025-06-23 15:02:39.539211,78
2025-06-23 15:02:39.589672,78
2025-06-23 15:02:39.639209,78
2025-06-23 15:02:39.690143,78
2025-06-23 15:02:39.740734,78
2025-06-23 15:02:39.790669,78
2025-06-23 15:02:39.841971,78
2025-06-23 15:02:39.892311,78
2025-06-23 15:02:39.942458,78
2025-06-23 15:02:39.993709,78
2025-06-23 15:02:40.041695,78
2025-06-23 15:02:40.093590,78
2025-06-23 15:02:40.144277,78
2025-06-23 15:02:40.194502,78
2025-06-23 15:02:40.244377,78
2025-06-23 15:02:40.294993,78
2025-06-23 15:02:40.345052,78
2025-06-23 15:02:40.395811,78
2025-06-23 15:02:40.445936,78
2025-06-23 15:02:40.495350,78
2025-06-23 15:02:40.546685,78
2025-06-23 15:02:40.597810,78
2025-06-23 15:02:40.648224,78
2025-06-23 15:02:40.698100,78
2025-06-23 15:02:40.748375,78
2025-06-23 15:02:40.799266,78
2025-06-23 15:02:40.849866,78
2025-06-23 15:02:40.900183,78
2025-06-23 15:02:40.950892,78
2025-06-23 15:02:41.001114,78
2025-06-23 15:02:41.051086,78
2025-06-23 15:02:41.101246,78
2025-06-23 15:02:41.151394,78
2025-06-23 15:02:41.201915,78
2025-06-23 15:02:41.253065,78
2025-06-23 15:02:41.303340,78
2025-06-23 15:02:41.353687,78
2025-06-23 15:02:41.404338,78
2025-06-23 15:02:41.454421,78
2025-06-23 15:02:41.504707,78
2025-06-23 15:02:41.555436,78
2025-06-23 15:02:41.604553,78
2025-06-23 15:02:41.654821,78
2025-06-23 15:02:41.706667,78
2025-06-23 15:02:41.756774,78
2025-06-23 15:02:41.807277,78
2025-06-23 15:02:41.857544,78
2025-06-23 15:02:41.908034,78
2025-06-23 15:02:41.956947,77
2025-06-23 15:02:42.008444,77
2025-06-23 15:02:42.058997,77
2025-06-23 15:02:42.109244,77
2025-06-23 15:02:42.159326,77
2025-06-23 15:02:42.210013,77
2025-06-23 15:02:42.260709,77
2025-06-23 15:02:42.312942,77
2025-06-23 15:02:42.362021,77
2025-06-23 15:02:42.412965,77
2025-06-23 15:02:42.463540,77
2025-06-23 15:02:42.514379,77
2025-06-23 15:02:42.564771,77
2025-06-23 15:02:42.617383,77
2025-06-23 15:02:42.665361,77
2025-06-23 15:02:42.716052,77
2025-06-23 15:02:42.766646,77
2025-06-23 15:02:42.817704,77
2025-06-23 15:02:42.867496,77
2025-06-23 15:02:42.918075,77
2025-06-23 15:02:42.970315,77
2025-06-23 15:02:43.019318,77
2025-06-23 15:02:43.069916,77
2025-06-23 15:02:43.119845,77
2025-06-23 15:02:43.169870,77
2025-06-23 15:02:43.219737,77
2025-06-23 15:02:43.270010,77
2025-06-23 15:02:43.319369,77
2025-06-23 15:02:43.369819,77
2025-06-23 15:02:43.421367,77
2025-06-23 15:02:43.471412,77
2025-06-23 15:02:43.521362,77
2025-06-23 15:02:43.571633,77
2025-06-23 15:02:43.621576,77
2025-06-23 15:02:43.673047,77
2025-06-23 15:02:43.723143,77
2025-06-23 15:02:43.773828,77
2025-06-23 15:02:43.824382,77
2025-06-23 15:02:43.873779,77
2025-06-23 15:02:43.925571,77
2025-06-23 15:02:43.976091,77
2025-06-23 15:02:44.026861,77
2025-06-23 15:02:44.077396,77
