Timestamp,Pulse Rate (bpm)
2025-06-23 14:54:35.729499,82
2025-06-23 14:54:35.779493,82
2025-06-23 14:54:35.830770,82
2025-06-23 14:54:35.881196,82
2025-06-23 14:54:35.931011,82
2025-06-23 14:54:35.980444,82
2025-06-23 14:54:36.032404,82
2025-06-23 14:54:36.082538,82
2025-06-23 14:54:36.133562,82
2025-06-23 14:54:36.184220,82
2025-06-23 14:54:36.234379,82
2025-06-23 14:54:36.284248,82
2025-06-23 14:54:36.335328,82
2025-06-23 14:54:36.385034,82
2025-06-23 14:54:36.436233,82
2025-06-23 14:54:36.486806,82
2025-06-23 14:54:36.536855,82
2025-06-23 14:54:36.587602,82
2025-06-23 14:54:36.637625,82
2025-06-23 14:54:36.688535,82
2025-06-23 14:54:36.738557,82
2025-06-23 14:54:36.788602,82
2025-06-23 14:54:36.837624,82
2025-06-23 14:54:36.889477,82
2025-06-23 14:54:36.939740,82
2025-06-23 14:54:36.990344,82
2025-06-23 14:54:37.040875,82
2025-06-23 14:54:37.091367,82
2025-06-23 14:54:37.140916,82
2025-06-23 14:54:37.192840,82
2025-06-23 14:54:37.242413,82
2025-06-23 14:54:37.305922,82
2025-06-23 14:54:37.341878,82
2025-06-23 14:54:37.393821,82
2025-06-23 14:54:37.444034,82
2025-06-23 14:54:37.494706,82
2025-06-23 14:54:37.543422,82
2025-06-23 14:54:37.595139,82
2025-06-23 14:54:37.645636,82
2025-06-23 14:54:37.696781,82
2025-06-23 14:54:37.746474,82
2025-06-23 14:54:37.796653,82
2025-06-23 14:54:37.847786,82
2025-06-23 14:54:37.898433,82
2025-06-23 14:54:37.948343,82
2025-06-23 14:54:37.998515,82
2025-06-23 14:54:38.049494,82
2025-06-23 14:54:38.099694,82
2025-06-23 14:54:38.149401,82
2025-06-23 14:54:38.200258,82
2025-06-23 14:54:38.250723,82
2025-06-23 14:54:38.300931,82
2025-06-23 14:54:38.351371,82
2025-06-23 14:54:38.401870,82
2025-06-23 14:54:38.452404,82
2025-06-23 14:54:38.502725,82
2025-06-23 14:54:38.552688,82
2025-06-23 14:54:38.603605,82
2025-06-23 14:54:38.654212,82
2025-06-23 14:54:38.704819,82
2025-06-23 14:54:38.754809,82
2025-06-23 14:54:38.805089,82
2025-06-23 14:54:38.855240,82
2025-06-23 14:54:38.906206,82
2025-06-23 14:54:38.956943,83
2025-06-23 14:54:39.006702,83
2025-06-23 14:54:39.055956,83
2025-06-23 14:54:39.107942,83
2025-06-23 14:54:39.158111,83
2025-06-23 14:54:39.208751,83
2025-06-23 14:54:39.259023,83
