Timestamp,Pulse Rate (bpm)
2025-06-23 14:59:55.757332,84
2025-06-23 14:59:55.796438,84
2025-06-23 14:59:55.851375,84
2025-06-23 14:59:55.897205,84
2025-06-23 14:59:55.952191,84
2025-06-23 14:59:55.998522,84
2025-06-23 14:59:56.048685,84
2025-06-23 14:59:56.099649,84
2025-06-23 14:59:56.149929,84
2025-06-23 14:59:56.199256,84
2025-06-23 14:59:56.250788,84
2025-06-23 14:59:56.300696,84
2025-06-23 14:59:56.351451,84
2025-06-23 14:59:56.401262,84
2025-06-23 14:59:56.451638,84
2025-06-23 14:59:56.502094,84
2025-06-23 14:59:56.552578,84
2025-06-23 14:59:56.601805,84
2025-06-23 14:59:56.652408,84
2025-06-23 14:59:56.703790,84
2025-06-23 14:59:56.754300,84
2025-06-23 14:59:56.804520,84
2025-06-23 14:59:56.854901,84
2025-06-23 14:59:56.905415,84
2025-06-23 14:59:56.955479,84
2025-06-23 14:59:57.006086,84
2025-06-23 14:59:57.056009,84
2025-06-23 14:59:57.107211,84
2025-06-23 14:59:57.156880,84
2025-06-23 14:59:57.207362,84
2025-06-23 14:59:57.258161,84
2025-06-23 14:59:57.308517,84
2025-06-23 14:59:57.359476,84
2025-06-23 14:59:57.409488,84
2025-06-23 14:59:57.458668,84
2025-06-23 14:59:57.511603,84
2025-06-23 14:59:57.560450,84
2025-06-23 14:59:57.611181,84
2025-06-23 14:59:57.662269,84
2025-06-23 14:59:57.712374,84
2025-06-23 14:59:57.762537,84
2025-06-23 14:59:57.814210,84
2025-06-23 14:59:57.863796,84
2025-06-23 14:59:57.913315,84
2025-06-23 14:59:57.964957,84
2025-06-23 14:59:58.015220,84
2025-06-23 14:59:58.064238,84
2025-06-23 14:59:58.116225,84
2025-06-23 14:59:58.166606,84
2025-06-23 14:59:58.217433,84
2025-06-23 14:59:58.267626,84
2025-06-23 14:59:58.317783,84
2025-06-23 14:59:58.368197,84
2025-06-23 14:59:58.418027,84
2025-06-23 14:59:58.468840,84
2025-06-23 14:59:58.519033,84
2025-06-23 14:59:58.569987,84
2025-06-23 14:59:58.619892,84
2025-06-23 14:59:58.670263,84
2025-06-23 14:59:58.720521,84
