Timestamp,Pulse Rate (bpm)
2025-05-28 09:56:24.415129,60
2025-05-28 09:56:24.572350,60
2025-05-28 09:56:24.818319,60
2025-05-28 09:56:25.136364,60
2025-05-28 09:56:25.428973,60
2025-05-28 09:56:25.687157,60
2025-05-28 09:56:25.989021,60
2025-05-28 09:56:26.279541,60
2025-05-28 09:56:26.534410,60
2025-05-28 09:56:26.805843,60
2025-05-28 09:56:27.093193,60
2025-05-28 09:56:27.329804,60
2025-05-28 09:56:27.581396,60
2025-05-28 09:56:27.844054,60
2025-05-28 09:56:28.117055,60
2025-05-28 09:56:28.417255,60
2025-05-28 09:56:28.721880,60
2025-05-28 09:56:29.009176,60
2025-05-28 09:56:29.230290,60
2025-05-28 09:56:29.477552,60
2025-05-28 09:56:29.742820,60
2025-05-28 09:56:29.971765,60
2025-05-28 09:56:30.238367,60
2025-05-28 09:56:30.494153,60
2025-05-28 09:56:30.750094,60
2025-05-28 09:56:31.009844,60
2025-05-28 09:56:31.222579,60
2025-05-28 09:56:31.509741,60
2025-05-28 09:56:31.788763,60
2025-05-28 09:56:32.019417,60
2025-05-28 09:56:32.282513,60
2025-05-28 09:56:32.589884,60
2025-05-28 09:56:32.847798,60
2025-05-28 09:56:33.104333,60
2025-05-28 09:56:33.385205,60
2025-05-28 09:56:33.665720,60
2025-05-28 09:56:33.970707,60
2025-05-28 09:56:34.233139,60
2025-05-28 09:56:34.512754,60
2025-05-28 09:56:34.738367,60
2025-05-28 09:56:35.002143,60
2025-05-28 09:56:35.289870,60
2025-05-28 09:56:35.560951,60
2025-05-28 09:56:35.848161,60
2025-05-28 09:56:36.149334,60
2025-05-28 09:56:36.430912,60
2025-05-28 09:56:36.751692,60
2025-05-28 09:56:37.045794,60
2025-05-28 09:56:37.221612,60
2025-05-28 09:56:37.513528,60
2025-05-28 09:56:37.901445,60
2025-05-28 09:56:38.208598,60
2025-05-28 09:56:38.527861,60
2025-05-28 09:56:38.831445,60
2025-05-28 09:56:39.138525,60
2025-05-28 09:56:39.462033,60
2025-05-28 09:56:39.747367,60
